word: the                 count:64183
word: and                 count:51379
word: of                  count:34746
word: to                  count:13643
word: that                count:12799
word: in                  count:12559
word: he                  count:10263
word: shall               count:9840
word: unto                count:8987
word: for                 count:8835
word: i                   count:8708
word: his                 count:8450
word: a                   count:8232
word: they                count:7300
word: is                  count:6876
word: be                  count:6873
word: with                count:6047
word: not                 count:5904
word: all                 count:5450
word: thou                count:5202
word: lord                count:4739
word: it                  count:4708
word: thy                 count:4600
word: was                 count:4455
word: which               count:4401
word: my                  count:4368
word: but                 count:3957
word: their               count:3931
word: have                count:3887
word: ye                  count:3848
word: will                count:3787
word: from                count:3655
word: as                  count:3520
word: them                count:3508
word: him                 count:3166
word: are                 count:2942
word: when                count:2833
word: upon                count:2736
word: were                count:2716
word: this                count:2645
word: by                  count:2595
word: out                 count:2484
word: god                 count:2303
word: said                count:2285
word: hath                count:2242
word: then                count:2125
word: there               count:2075
word: into                count:2012
word: had                 count:1993
word: came                count:1991
word: man                 count:1978
word: on                  count:1975
word: up                  count:1900
word: son                 count:1894
word: one                 count:1824
word: we                  count:1818
word: king                count:1794
word: your                count:1787
word: me                  count:1779
word: before              count:1768
word: an                  count:1703
word: against             count:1665
word: shalt               count:1616
word: if                  count:1607
word: come                count:1602
word: children            count:1588
word: at                  count:1578
word: so                  count:1562
word: her                 count:1533
word: thee                count:1530
word: also                count:1520
word: let                 count:1506
word: no                  count:1359
word: even                count:1335
word: made                count:1332
word: went                count:1328
word: house               count:1315
word: go                  count:1266
word: every               count:1236
word: you                 count:1233
word: do                  count:1232
word: people              count:1232
word: because             count:1201
word: or                  count:1180
word: our                 count:1169
word: saith               count:1167
word: these               count:1165
word: now                 count:1163
word: after               count:1154
word: land                count:1143
word: men                 count:1111
word: israel              count:1098
word: therefore           count:1082
word: o                   count:1065
word: hast                count:1060
word: day                 count:1059
word: make                count:1053
word: may                 count:1040
word: what                count:972
word: she                 count:968
word: over                count:961
word: who                 count:951
word: did                 count:936
word: any                 count:935
word: among               count:916
word: put                 count:908
word: thine               count:904
word: neither             count:876
word: great               count:870
word: give                count:864
word: hand                count:864
word: take                count:856
word: brought             count:853
word: down                count:848
word: sons                count:839
word: am                  count:833
word: us                  count:800
word: according           count:796
word: things              count:793
word: two                 count:792
word: should              count:785
word: jesus               count:777
word: whom                count:756
word: nor                 count:755
word: forth               count:744
word: took                count:742
word: bring               count:722
word: thus                count:714
word: know                count:709
word: david               count:694
word: set                 count:693
word: yet                 count:669
word: say                 count:660
word: like                count:658
word: sent                count:656
word: name                count:655
word: away                count:613
word: mine                count:595
word: called              count:577
word: heard               count:574
word: own                 count:573
word: word                count:563
word: days                count:558
word: father              count:551
word: how                 count:545
word: more                count:530
word: spake               count:526
word: saw                 count:525
word: holy                count:522
word: good                count:511
word: hundred             count:509
word: cast                count:497
word: eat                 count:495
word: see                 count:488
word: moses               count:484
word: than                count:483
word: given               count:483
word: many                count:481
word: art                 count:478
word: heart               count:469
word: those               count:464
word: gave                count:464
word: about               count:452
word: city                count:450
word: seven               count:444
word: through             count:443
word: three               count:442
word: would               count:442
word: evil                count:437
word: other               count:437
word: time                count:436
word: might               count:434
word: speak               count:416
word: done                count:414
word: thousand            count:411
word: pass                count:409
word: hear                count:405
word: place               count:404
word: way                 count:398
word: where               count:395
word: under               count:391
word: without             count:391
word: answered            count:386
word: again               count:385
word: commanded           count:377
word: judah               count:373
word: words               count:368
word: offering            count:367
word: first               count:367
word: thing               count:366
word: until               count:366
word: off                 count:365
word: burnt               count:360
word: found               count:359
word: both                count:353
word: keep                count:353
word: midst               count:348
